trial,subject,f1,thresh,acc,avg_f1,hidden_size,num_layers,dropout,bidirectional,learning_rate,stride,seq_len,epochs,batch_size,weight_decay
0,7242,0.3291585776212968,0.48,0.34223568281938327,0.3291585776212968,64,3,0.2994028049210362,True,0.003319414023327547,4,32,13,64,0.005666597524267947
1,7242,0.7934080578339217,0.67,0.8013200431034483,0.7934080578339217,64,2,0.36965344602653816,True,0.001720021822320989,2,128,8,64,0.003062273519768889
2,7242,0.61060990876426,0.58,0.566281392694064,0.61060990876426,128,3,0.17957901587152492,True,0.003230690711567297,2,64,14,128,0.009180713288833598
3,7242,0.8023065751012002,0.58,0.7980522260273972,0.8023065751012002,128,2,0.46113270413265095,False,0.00011982944130266843,1,64,9,64,1.3467657668402778e-05
4,7242,0.7176037581578935,0.6,0.6962746305418719,0.7176037581578935,64,2,0.34223102575750275,False,0.00033452711277994786,4,128,10,128,0.00010450174221660634
5,7242,0.5728767345774257,0.51,0.5300110132158591,0.5728767345774257,128,1,0.30791879435015207,False,0.00013683416522885754,2,32,11,128,3.003178873383061e-05
6,7242,0.543851793336805,0.4,0.5027533039647577,0.543851793336805,128,1,0.45433083846708233,True,0.003198838691931292,2,32,12,128,4.78982922844584e-05
7,7242,0.5344038196416926,0.58,0.4942922374429224,0.5344038196416926,256,2,0.31338835399560105,False,0.0013997736312299017,4,64,9,32,3.152146858847378e-05
8,7242,0.5452706602529991,0.52,0.5063855593607306,0.5452706602529991,128,3,0.32605054158312186,True,0.0007451376549375596,1,64,9,64,0.0022291764931384015
9,7242,0.7504878494491952,0.32,0.7266394704433498,0.7504878494491952,64,2,0.108466076468862,True,0.00082609199251563,4,128,13,32,0.00010376177657048565
