trial,subject,f1,thresh,acc,avg_f1,hidden_size,num_layers,dropout,bidirectional,learning_rate,stride,seq_len,epochs,batch_size,weight_decay
0,7242,0.3356893281473629,0.31,0.34719162995594716,0.3356893281473629,64,3,0.2994028049210362,True,0.003319414023327547,4,32,13,64,0.005666597524267947
1,7242,0.5554719853923709,0.54,0.5204356527093597,0.5554719853923709,64,2,0.36965344602653816,True,0.001720021822320989,2,128,8,64,0.003062273519768889
2,7242,0.5733458476971272,0.56,0.528824200913242,0.5733458476971272,128,3,0.17957901587152492,True,0.003230690711567297,2,64,14,128,0.009180713288833598
3,7242,0.7955665617607207,0.63,0.7877604166666666,0.7955665617607207,128,2,0.46113270413265095,False,0.00011982944130266843,1,64,9,64,1.3467657668402778e-05
4,7242,0.7613954275299363,0.58,0.7528479064039408,0.7613954275299363,64,2,0.34223102575750275,False,0.00033452711277994786,4,128,10,128,0.00010450174221660634
5,7242,0.5344584814945267,0.47,0.4937362334801762,0.5344584814945267,128,1,0.30791879435015207,False,0.00013683416522885754,2,32,11,128,3.003178873383061e-05
6,7242,0.5554493427729721,0.5,0.5134911894273128,0.5554493427729721,128,1,0.45433083846708233,True,0.003198838691931292,2,32,12,128,4.78982922844584e-05
7,7242,0.5797890015672118,0.56,0.5380279680365296,0.5797890015672118,256,2,0.31338835399560105,False,0.0013997736312299017,4,64,9,32,3.152146858847378e-05
8,7242,0.563635363496897,0.56,0.5219748858447488,0.563635363496897,128,3,0.32605054158312186,True,0.0007451376549375596,1,64,9,64,0.0022291764931384015
9,7242,0.8210215645656561,0.57,0.8219673645320197,0.8210215645656561,64,2,0.108466076468862,True,0.00082609199251563,4,128,13,32,0.00010376177657048565
