trial,subject,f1,thresh,acc,avg_f1,hidden_size,num_layers,dropout,bidirectional,learning_rate,stride,seq_len,epochs,batch_size,weight_decay
0,7242,0.3369751733576683,0.4,0.3481552863436123,0.3369751733576683,64,3,0.2994028049210362,True,0.003319414023327547,4,32,13,64,0.005666597524267947
1,7242,0.7260930407540068,0.57,0.7093211206896551,0.7260930407540068,64,2,0.36965344602653816,True,0.001720021822320989,2,128,8,64,0.003062273519768889
2,7242,0.6318969042546065,0.52,0.5892551369863014,0.6318969042546065,128,3,0.17957901587152492,True,0.003230690711567297,2,64,14,128,0.009180713288833598
3,7242,0.8214055844743579,0.64,0.8234696061643836,0.8214055844743579,128,2,0.46113270413265095,False,0.00011982944130266843,1,64,9,64,1.3467657668402778e-05
4,7242,0.5665078864278784,0.57,0.5298260467980296,0.5665078864278784,64,2,0.34223102575750275,False,0.00033452711277994786,4,128,10,128,0.00010450174221660634
5,7242,0.5638481907141943,0.49,0.5211316079295154,0.5638481907141943,128,1,0.30791879435015207,False,0.00013683416522885754,2,32,11,128,3.003178873383061e-05
6,7242,0.5518441276703108,0.51,0.5101872246696035,0.5518441276703108,128,1,0.45433083846708233,True,0.003198838691931292,2,32,12,128,4.78982922844584e-05
7,7242,0.5638962958631706,0.55,0.5224743150684932,0.5638962958631706,256,2,0.31338835399560105,False,0.0013997736312299017,4,64,9,32,3.152146858847378e-05
8,7242,0.7736684568825624,0.55,0.7703160673515982,0.7736684568825624,128,3,0.32605054158312186,True,0.0007451376549375596,1,64,9,64,0.0022291764931384015
9,7242,0.7898487423028989,0.57,0.7835591133004927,0.7898487423028989,64,2,0.108466076468862,True,0.00082609199251563,4,128,13,32,0.00010376177657048565
10,7242,0.7357946702185721,0.59,0.7169306506849316,0.7357946702185721,256,1,0.494664471597481,False,0.00010694472356471342,1,64,5,64,1.013302049638033e-05
11,7242,0.2924640382551863,0.49,0.3301166102216749,0.2924640382551863,64,2,0.10709326095135978,False,0.009369919362800223,1,128,15,32,0.0005672550264067967
12,7242,0.8156824351085986,0.57,0.8151939655172413,0.8156824351085986,128,2,0.22207690456169188,False,0.00032330609347919637,4,128,7,32,0.0002807190562175751
13,7242,0.7864370775026727,0.61,0.7782355878995434,0.7864370775026727,128,2,0.22560616172085807,False,0.0002696064716825298,1,64,6,32,0.0006043812424815001
14,7242,0.8019122688141159,0.56,0.8005695812807881,0.8019122688141159,128,2,0.40972120848046206,False,0.0002660692413453497,4,128,7,32,0.00026738869267932706
15,7242,0.8118793310950139,0.65,0.8116438356164384,0.8118793310950139,128,3,0.2141877593930021,False,0.0004613655468386214,1,64,7,64,1.0875279007825275e-05
16,7242,0.772052534955329,0.6,0.7662792487684729,0.772052534955329,256,1,0.2525895405175864,False,0.00015931868863646847,1,128,5,64,0.0009380090102083233
17,7242,0.7590436632444694,0.58,0.7473445197044335,0.7590436632444694,128,2,0.17572808925368777,False,0.00019796727006555356,4,128,8,32,0.00018924824872540379
18,7242,0.7315618174664344,0.56,0.7076912100456622,0.7315618174664344,128,1,0.40712483493971297,False,0.0005326304538909669,4,64,10,64,6.027088191235586e-05
19,7242,0.7256681839650868,0.58,0.7017139317180616,0.7256681839650868,128,3,0.2647588260506999,False,0.00010729880593137212,1,32,7,32,0.001263168810907204
20,7242,0.7786198307023575,0.6,0.7702047413793104,0.7786198307023575,256,2,0.4909092144710391,False,0.0004178359248800935,4,128,11,32,2.429814795415795e-05
21,7242,0.7252490669616113,0.61,0.700841894977169,0.7252490669616113,128,3,0.20240753218786428,False,0.0004855622553691983,1,64,7,64,1.641082924029551e-05
22,7242,0.6911080970986307,0.61,0.6572310216894978,0.6911080970986307,128,3,0.14769611366626487,False,0.00019853769157560151,1,64,8,64,1.1336955384131236e-05
23,7242,0.8162493506373735,0.6,0.8143550228310502,0.8162493506373735,128,3,0.25803723665925876,False,0.0005638197144170144,1,64,6,64,7.241303786632272e-05
24,7242,0.7606862103508493,0.6,0.7473601598173516,0.7606862103508493,128,2,0.26885389795186365,False,0.0002636584779885407,1,64,6,64,0.00015976879631341258
25,7242,0.7066082206101093,0.59,0.6789561929223744,0.7066082206101093,128,2,0.38955721844944735,False,0.00115147179949133,1,64,6,64,0.00037035849917661383
26,7242,0.8078303193563512,0.57,0.8029216609589042,0.8078303193563512,128,3,0.24107426022914816,False,0.0006399479939491448,1,64,9,64,5.506953431480017e-05
27,7242,0.7726977533827759,0.61,0.7644477739726028,0.7726977533827759,128,2,0.4460542813110177,False,0.00017798406018411386,1,64,5,64,8.258469807208804e-05
28,7242,0.5625380284597582,0.56,0.5194796255506607,0.5625380284597582,256,2,0.2911752952348207,False,0.0009790356720981944,2,32,8,128,0.00019313865647757942
29,7242,0.5484616474429728,0.58,0.5140086206896551,0.5484616474429728,128,3,0.3528624161948395,True,0.0022696911038124724,4,128,6,32,2.284446533764582e-05
