feature_name,notes,target_subject,model_used,accuracy,weighted_f1,precision,recall,N1_f1,N2_f1,N3_f1,REM_f1,Wake_f1,n_trials
Band lag1 lag2,Adds 1- and 2-epoch lag feats for each band,7011,LGBMClassifier,0.708256880733945,0.6966315987524099,0.702416708910955,0.708256880733945,0.33783783783783783,0.7892376681614349,0.609375,0.6829268292682927,0.7005347593582888,1
band_rollmean,"Adds rolling average (windows 3,5 epochs) for all bands",7011,LGBMClassifier,0.7097069597069597,0.6932056770025073,0.6989824249640209,0.7097069597069597,0.3108108108108108,0.8027562446167097,0.6666666666666666,0.6865671641791045,0.6201117318435754,1
band_diff,Adds rate of change feat for bands,7011,LGBMClassifier,0.7042124542124543,0.6909857631126226,0.7017619137155855,0.7042124542124543,0.37575757575757573,0.8020565552699229,0.6134453781512605,0.6494464944649446,0.6355685131195336,1
