trial,subject,f1,thresh,acc,avg_f1,hidden_size,num_layers,dropout,bidirectional,learning_rate,stride,seq_len,epochs,batch_size,weight_decay
0,7242,0.33890331004298785,0.5,0.3493942731277533,0.33890331004298785,64,3,0.2994028049210362,True,0.0019124590142517383,4,32,13,64,0.005666597524267947
1,7242,0.7930978275334277,0.57,0.7936037561576355,0.7930978275334277,64,2,0.36965344602653816,True,0.0007133471581159139,2,128,8,64,0.003062273519768889
2,7242,0.5882806828854087,0.5,0.5459474885844748,0.5882806828854087,128,3,0.17957901587152492,True,0.001836297633756301,2,64,14,128,0.009180713288833598
3,7242,0.49231938124188684,0.43,0.4652183219178082,0.49231938124188684,128,2,0.46113270413265095,False,1.3117325687085003e-05,1,64,9,64,1.3467657668402778e-05
4,7242,0.7363022515471996,0.6,0.7200584975369458,0.7363022515471996,64,2,0.34223102575750275,False,6.118528444803968e-05,4,128,10,128,0.00010450174221660634
5,7242,0.5872872779842384,0.53,0.5432268722466961,0.5872872779842384,128,1,0.30791879435015207,False,1.6006331996938085e-05,2,32,11,128,3.003178873383061e-05
6,7242,0.7870648082019954,0.58,0.7745044052863436,0.7870648082019954,128,1,0.45433083846708233,True,0.0018092080466732602,2,32,12,128,4.78982922844584e-05
7,7242,0.7373096924032411,0.6,0.7153966894977168,0.7373096924032411,256,2,0.31338835399560105,False,0.0005237049901270809,4,64,9,32,3.152146858847378e-05
8,7242,0.7840365300779158,0.64,0.7830871860730594,0.7840365300779158,128,3,0.32605054158312186,True,0.00020340178788509072,1,64,9,64,0.0022291764931384015
9,7242,0.7228716807947646,0.47,0.6956588669950738,0.7228716807947646,64,2,0.108466076468862,True,0.00023743384127540416,4,128,13,32,0.00010376177657048565
