trial,subject,f1,thresh,acc,avg_f1,hidden_size,num_layers,dropout,bidirectional,learning_rate,stride,seq_len,epochs,batch_size,weight_decay
0,7242,0.5812379044486616,0.5,0.5342786343612335,0.5812379044486616,64,3,0.2994028049210362,True,0.003319414023327547,4,32,13,64,0.005666597524267947
1,7242,0.530648609878561,0.53,0.4960552647783251,0.530648609878561,64,2,0.36965344602653816,True,0.001720021822320989,2,128,8,64,0.003062273519768889
2,7242,0.6143226413131994,0.59,0.5700984589041096,0.6143226413131994,128,3,0.17957901587152492,True,0.003230690711567297,2,64,14,128,0.009180713288833598
3,7242,0.800326546682675,0.61,0.7965717751141552,0.800326546682675,128,2,0.46113270413265095,False,0.00011982944130266843,1,64,9,64,1.3467657668402778e-05
4,7242,0.7232533678429663,0.6,0.7032019704433498,0.7232533678429663,64,2,0.34223102575750275,False,0.00033452711277994786,4,128,10,128,0.00010450174221660634
