trial,subject,f1,thresh,acc,avg_f1,hidden_size,num_layers,dropout,bidirectional,learning_rate,stride,seq_len,epochs,batch_size,weight_decay
0,7242,0.31495969841432736,0.36,0.3332874449339207,0.31495969841432736,64,3,0.2994028049210362,True,0.003319414023327547,4,32,13,64,0.005666597524267947
1,7242,0.5317223419608759,0.55,0.49642087438423643,0.5317223419608759,64,2,0.36965344602653816,True,0.001720021822320989,2,128,8,64,0.003062273519768889
2,7242,0.5638786026313527,0.55,0.5215111301369864,0.5638786026313527,128,3,0.17957901587152492,True,0.003230690711567297,2,64,14,128,0.009180713288833598
3,7242,0.778062458160615,0.56,0.7672659817351598,0.778062458160615,128,2,0.46113270413265095,False,0.00011982944130266843,1,64,9,64,1.3467657668402778e-05
4,7242,0.7349024804512284,0.59,0.7173645320197044,0.7349024804512284,64,2,0.34223102575750275,False,0.00033452711277994786,4,128,10,128,0.00010450174221660634
