feature_name,notes,target_subject,model_used,accuracy,weighted_f1,precision,recall,N1_f1,N2_f1,N3_f1,REM_f1,Wake_f1,n_trials
band_base,"Baseline band feats (delta, theta, alpha, beta, cycle, label, subject_id)",7011,LGBMClassifier,0.6336996336996337,0.6112657787707511,0.624552998728823,0.6336996336996337,0.3150684931506849,0.7564853556485356,0.5022026431718062,0.5642857142857143,0.48214285714285715,1
band_lag1_2,Adds 1- and 2-epoch lag feats for each band,7011,LGBMClassifier,0.7165137614678899,0.7024389649974734,0.7144049061413658,0.7165137614678899,0.35714285714285715,0.7916303400174368,0.6285714285714286,0.6813186813186813,0.704,1
band_rollmean,"Adds rolling average (windows 3,5 epochs) for all bands",7011,LGBMClassifier,0.7023809523809523,0.6847469163199685,0.6910749419650348,0.7023809523809523,0.2896551724137931,0.7958477508650519,0.640625,0.6981818181818182,0.6136363636363636,1
band_diff,Adds rate of change feat for bands,7011,LGBMClassifier,0.7005494505494505,0.6861374019556592,0.69487368819184,0.7005494505494505,0.3576158940397351,0.7962003454231433,0.6184738955823293,0.652014652014652,0.6288951841359773,1
band_ratio,"Adds band ratios (delta/theta, alpha/theta, etc.)",7011,LGBMClassifier,0.6428571428571429,0.6277829576388853,0.6383116258407179,0.6428571428571429,0.2620689655172414,0.764808362369338,0.5140562248995983,0.527027027027027,0.5895953757225434,1
band_rollstd,"Adds rolling std (3, 5 window) for bands",7011,LGBMClassifier,0.674908424908425,0.6651547006060626,0.6635716742971757,0.674908424908425,0.26143790849673204,0.7779816513761468,0.6367041198501873,0.5869565217391305,0.6381909547738693,1
band_entropy,Shannon entropy across normalized bands,7011,LGBMClassifier,0.6565934065934066,0.6329069371758502,0.6564652904898531,0.6565934065934066,0.22556390977443608,0.7716666666666666,0.5087719298245614,0.5547945205479452,0.6042296072507553,1
