trial,subject,f1,thresh,acc,avg_f1,hidden_size,num_layers,dropout,bidirectional,learning_rate,stride,seq_len,epochs,batch_size,weight_decay
0,7012,0.48862341889824007,0.51,0.45108695652173914,0.48862341889824007,64,3,0.2994028049210362,True,0.0019124590142517383,4,32,13,64,0.005666597524267947
1,7012,0.5878529887374626,0.5,0.547285284463895,0.5878529887374626,64,2,0.36965344602653816,True,0.0007133471581159139,2,128,8,64,0.003062273519768889
2,7012,0.5920771320095967,0.5,0.5487602249488752,0.5920771320095967,128,3,0.17957901587152492,True,0.001836297633756301,2,64,14,128,0.009180713288833598
3,7012,0.5943867541349259,0.57,0.5488900972364381,0.5943867541349259,128,2,0.46113270413265095,False,1.3117325687085003e-05,1,64,9,64,1.3467657668402778e-05
4,7012,0.5787267439010446,0.54,0.5383119541484717,0.5787267439010446,64,2,0.34223102575750275,False,6.118528444803968e-05,4,128,10,128,0.00010450174221660634
5,7012,0.5635375372718795,0.54,0.5198638613861386,0.5635375372718795,128,1,0.30791879435015207,False,1.6006331996938085e-05,2,32,11,128,3.003178873383061e-05
6,7012,0.5821704085715736,0.47,0.5377475247524752,0.5821704085715736,128,1,0.45433083846708233,True,0.0018092080466732602,2,32,12,128,4.78982922844584e-05
7,7012,0.5956282066907225,0.6,0.551530612244898,0.5956282066907225,256,2,0.31338835399560105,False,0.0005237049901270809,4,64,9,32,3.152146858847378e-05
8,7012,0.6018214881018125,0.58,0.5570304503582395,0.6018214881018125,128,3,0.32605054158312186,True,0.00020340178788509072,1,64,9,64,0.0022291764931384015
9,7012,0.5847987027440722,0.57,0.5447257096069869,0.5847987027440722,64,2,0.108466076468862,True,0.00023743384127540416,4,128,13,32,0.00010376177657048565
